spelling,pp_mean,pp_min,pp_freq_mean,pp_freq_min
checkout,0.995900823,0.98630137,0.996039197,0.987036667
checkpoint,0.952931889,0.765306122,0.950999128,0.757086523
checks,0.99862259,0.991735537,0.998387598,0.990325589
checkup,0.998819362,0.991735537,0.998617941,0.990325589
cheddar,0.996715928,0.977011494,0.996965366,0.978757561
cheek,0.997811816,0.989059081,0.998307418,0.991537088
cheekbone,0.91137401,0.356957649,0.914902766,0.372769637
cheeks,0.998176513,0.989059081,0.998589515,0.991537088
cheeky,0.998176513,0.989059081,0.998589515,0.991537088
cheep,0.997811816,0.989059081,0.998307418,0.991537088
cheer,0.999812559,0.999062793,0.999848692,0.999243461
cheered,0.841623174,0.527725857,0.841756232,0.534759267
cheerful,0.998632385,0.989059081,0.998942136,0.991537088
cheering,0.998632385,0.989059081,0.998942136,0.991537088
cheerio,0.998437012,0.989059081,0.998791013,0.991537088
cheerleader,0.93396275,0.681818182,0.933734522,0.678767178
cheerleaders,0.939363969,0.681818182,0.939145977,0.678767178
cheerleading,0.938268444,0.681818182,0.937669938,0.678767178
cheers,0.997816542,0.989059081,0.998242089,0.991537088
cheery,0.998176513,0.989059081,0.998589515,0.991537088
cheese,0.884331116,0.318181818,0.88514384,0.321232822
cheeseburger,0.940240029,0.318181818,0.940835063,0.321232822
cheeseburgers,0.944742902,0.318181818,0.945284057,0.321232822
cheesecake,0.864059558,0.318181818,0.866965921,0.321232822
cheesy,0.994272623,0.965635739,0.994924079,0.969544473
cheetah,0.998437012,0.989059081,0.998791013,0.991537088
chef,0.997933884,0.991735537,0.997581397,0.990325589
chefs,0.998347107,0.991735537,0.998065118,0.990325589
chelsea,0.869272237,0.5,0.863944843,0.522718161
chem,0.997933884,0.991735537,0.997581397,0.990325589
chemical,0.998966942,0.991735537,0.998790699,0.990325589
chemically,0.998508365,0.991735537,0.998368441,0.990325589
chemicals,0.999081726,0.991735537,0.998925065,0.990325589
chemist,0.99838777,0.991735537,0.998274036,0.990325589
chemistry,0.988087143,0.942664418,0.987664486,0.941239154
chemo,0.998347107,0.991735537,0.998065118,0.990325589
chemotherapy,0.966140166,0.643042351,0.965022351,0.627230363
cheng,0.998347107,0.991735537,0.998065118,0.990325589
chenille,0.863227029,0.450292398,0.863691699,0.453528662
cheque,0.743285239,0.2,0.757618458,0.208400803
cheques,0.637637512,0.164179104,0.627103194,0.162414902
cher,0.999765698,0.999062793,0.999810865,0.999243461
cherie,0.99862259,0.991735537,0.998387598,0.990325589
cherish,0.998819362,0.991735537,0.998617941,0.990325589
cherished,0.886394233,0.527725857,0.887652788,0.534320662
cherokee,0.953999047,0.643042351,0.951784305,0.627230363
cherries,0.914969264,0.618955513,0.915235588,0.612856026
cherry,0.988693512,0.970212766,0.989140927,0.972259986
chess,1,1,1,1
chest,0.993127148,0.965635739,0.993908895,0.969544473
chester,0.985730221,0.942664418,0.985414035,0.941239154
chestnut,0.755221795,0.041615667,0.756426902,0.042584371
chestnuts,0.788772361,0.041615667,0.789038357,0.042584371
chests,0.993064055,0.958384333,0.992902605,0.957415629
chevy,0.998347107,0.991735537,0.998065118,0.990325589
chew,1,1,1,1
chewable,0.86997879,0.586979167,0.866073663,0.574030007
chewed,0.687298216,0.318181818,0.683012503,0.310100679
chewer,0.872739422,0.555555556,0.875364646,0.575678023
chewie,0.945833333,0.675,0.948701413,0.692208479
chewing,0.953571429,0.675,0.956029783,0.692208479
chewy,0.935,0.675,0.938441696,0.692208479
cheyenne,0.888619855,0.142857143,0.898487044,0.222227809
chez,0.785714286,0.142857143,0.779054001,0.116216005
chi,1,1,1,1
chianti,0.985877241,0.901140684,0.985234766,0.89664336
chic,0.979166667,0.916666667,0.981954897,0.927819588
chicago,0.988095238,0.916666667,0.989688513,0.927819588
chick,0.983333333,0.916666667,0.985563918,0.927819588
chicken,0.988095238,0.916666667,0.989688513,0.927819588
chickened,0.763399203,0.363636364,0.757818388,0.33999684
chickens,0.989583333,0.916666667,0.990977448,0.927819588
chickenshit,0.903851609,0.523076923,0.900146455,0.495345802
chicks,0.986111111,0.916666667,0.987969931,0.927819588
chico,0.983333333,0.916666667,0.985563918,0.927819588
chide,0.873592501,0.384615385,0.876337584,0.396871554
chief,0.869112122,0.576923077,0.870251409,0.577073929
chiefs,0.890926768,0.576923077,0.891876174,0.577073929
chiffon,0.988095238,0.916666667,0.989688513,0.927819588
chihuahua,0.825783476,0.015384615,0.82443811,0.014256643
child,0.964583333,0.916666667,0.948777578,0.908034152
childbirth,0.991666667,0.916666667,0.992781959,0.927819588
childhood,0.988782836,0.916666667,0.990139607,0.927819588
childish,0.987670068,0.916666667,0.98850282,0.927819588
children,0.989583333,0.916666667,0.990977448,0.927819588
chile,0.509051002,0.01048218,0.502340528,0.00794122
chili,0.983333333,0.916666667,0.985563918,0.927819588
chill,0.983333333,0.916666667,0.985563918,0.927819588
chilled,0.870600876,0.527725857,0.880993215,0.534759267
chilliness,0.997413793,0.987068966,0.998392454,0.991962269
chilling,0.996767241,0.987068966,0.997990567,0.991962269
chills,0.995689655,0.987068966,0.997320756,0.991962269
chilly,0.995689655,0.987068966,0.997320756,0.991962269
chime,0.869008513,0.384615385,0.873343648,0.396871554
chimera,0.891051805,0.523076923,0.886477695,0.495345802
chimes,0.74289874,0.381044487,0.741464075,0.387143974
chimney,0.850235479,0.523076923,0.838461292,0.495345802
chimp,0.983333333,0.916666667,0.985563918,0.927819588
chimpanzee,0.950364583,0.586979167,0.950184959,0.574030007
chimpanzees,0.920236486,0.586979167,0.919518693,0.574030007
chimps,0.986111111,0.916666667,0.987969931,0.927819588
chin,0.979166667,0.916666667,0.981954897,0.927819588
china,0.983333333,0.916666667,0.985563918,0.927819588
chinatown,0.982265859,0.916666667,0.982348606,0.927819588
chinese,0.860348292,0.523076923,0.860103153,0.495345802
ching,0.983333333,0.916666667,0.985563918,0.927819588
chink,0.983333333,0.916666667,0.985563918,0.927819588
chinks,0.986111111,0.916666667,0.987969931,0.927819588
chino,0.983333333,0.916666667,0.985563918,0.927819588
chip,0.979166667,0.916666667,0.981954897,0.927819588
chipmunk,0.989583333,0.916666667,0.990977448,0.927819588
chipped,0.803514788,0.523076923,0.801881287,0.495345802
chipper,0.987961351,0.916666667,0.989580436,0.927819588
chips,0.983333333,0.916666667,0.985563918,0.927819588
chiropractor,0.990889115,0.916666667,0.991751942,0.927819588
chirp,0.983333333,0.916666667,0.985563918,0.927819588
chirping,0.989583333,0.916666667,0.990977448,0.927819588
chisel,0.985607586,0.916666667,0.987568709,0.927819588
chitchat,0.740511045,0.011111111,0.742097161,0.010177654
chivalry,0.989583333,0.916666667,0.990977448,0.927819588
chive,0.87420073,0.384615385,0.876822319,0.396871554
chlamydia,0.980325464,0.838235294,0.979473598,0.835059409
chloe,0.676725693,0.052631579,0.74633001,0.07281277
chloride,0.930599871,0.463788301,0.930785541,0.465679338
chlorine,0.929909427,0.463788301,0.930149945,0.465679338
chloroform,0.99891738,0.99469496,0.998654269,0.993783302
cho,1,1,1,1
chocolate,0.929113642,0.413020833,0.930766465,0.425969993
chocolates,0.852129468,0.381044487,0.852746866,0.387143974
choice,0.763607085,0.2,0.786944803,0.246958192
choices,0.82270793,0.5,0.811705055,0.431284494
choir,0.69248333,0.227722772,0.696066861,0.237420828
choke,0.853115015,0.356957649,0.859654304,0.372769637
choked,0.790761491,0.527725857,0.790842261,0.534759267
choking,1,1,1,1
cholera,0.915944826,0.643042351,0.91328766,0.627230363
cholesterol,0.901809259,0.534883721,0.896373275,0.503316771
chomp,1,1,1,1
choose,0.759497878,0.235849057,0.768354315,0.259581904
chooser,0.997348807,0.982378855,0.997525763,0.983436878
chooses,0.774432914,0.446728972,0.76264365,0.433705325
choosing,0.941987847,0.726890756,0.940511929,0.720614111
chop,1,1,1,1
chopped,0.820652707,0.527725857,0.820721938,0.534759267
chopper,0.999866113,0.999062793,0.999891923,0.999243461
choppers,0.999730022,0.997840173,0.999739431,0.997915445
chopping,1,1,1,1
chops,1,1,1,1
chopsticks,0.914148763,0.540605096,0.913220872,0.538099771
choral,0.99382716,0.962962963,0.993721186,0.962327118
chord,1,1,1,1
chords,1,1,1,1
chore,0.834280951,0.356957649,0.841136093,0.372769637
choreographer,0.918067188,0.643042351,0.915408004,0.603254747
choreography,0.917064681,0.643042351,0.912635441,0.603254747
chores,0.79653148,0.381044487,0.795338734,0.387143974
chorus,1,1,1,1
chose,0.857494172,0.356957649,0.862990437,0.372769637
chosen,1,1,1,1
chow,1,1,1,1
chowder,0.99620311,0.974358974,0.995677555,0.970499421
choy,0.991071429,0.964285714,0.993038928,0.972155713
christ,0.999496475,0.996978852,0.999598777,0.997592663
christian,0.868029434,0.357501795,0.870900274,0.363306678
christianity,0.896993999,0.261904762,0.89393898,0.236515444
christians,0.881226491,0.357501795,0.883810247,0.363306678
christie,0.950110317,0.642498205,0.949263619,0.636693322
christine,0.89361049,0.463788301,0.893279988,0.465679338
christmas,0.778567109,0.041615667,0.78059751,0.042584371
christopher,0.979987634,0.931034483,0.98206277,0.941239154
christy,0.985864107,0.942664418,0.985522112,0.941239154
chrome,0.87771137,0.356957649,0.88347213,0.372769637
chromosomes,0.869933392,0.381044487,0.870106437,0.387143974
chronic,0.998688589,0.99469496,0.99840821,0.993783302
chronicle,0.894951259,0.536211699,0.894810292,0.534320662
chrysalis,0.988359788,0.942857143,0.989723812,0.948301434
chrysanthemum,0.940604775,0.586979167,0.939569874,0.574030007
chrysler,0.991239034,0.963636364,0.987550489,0.949186393
chubby,0.997435897,0.984615385,0.997623893,0.985743357
chuck,0.996923077,0.984615385,0.997148671,0.985743357
chuckie,0.997802198,0.984615385,0.997963337,0.985743357
chuckle,0.844997109,0.330827068,0.83682084,0.291671356
chuckles,0.805107889,0.227272727,0.801173572,0.222042403
chuckling,0.998290598,0.984615385,0.998415929,0.985743357
chucky,0.997435897,0.984615385,0.997623893,0.985743357
chug,0.996153846,0.984615385,0.996435839,0.985743357
chum,0.996153846,0.984615385,0.996435839,0.985743357
chummy,0.994405594,0.984615385,0.995063338,0.985743357
chump,0.996923077,0.984615385,0.997148671,0.985743357
chumps,0.997435897,0.984615385,0.997623893,0.985743357
chun,0.996153846,0.984615385,0.996435839,0.985743357
chung,0.996923077,0.984615385,0.997148671,0.985743357
chunk,0.996923077,0.984615385,0.997148671,0.985743357
chunks,0.997435897,0.984615385,0.997623893,0.985743357
chunky,0.997435897,0.984615385,0.997623893,0.985743357
church,0.997435897,0.984615385,0.997623893,0.985743357
churches,0.901040904,0.594634873,0.897736137,0.574490145
churchgoer,0.929420449,0.315789474,0.933076224,0.3512325
churchill,0.985921291,0.916666667,0.98723034,0.927819588
churchyard,0.997935223,0.984615385,0.998028628,0.985743357
churn,0.996923077,0.984615385,0.997148671,0.985743357
chute,0.875303795,0.405365127,0.879295136,0.425509855
chutes,0.754825065,0.381044487,0.754654799,0.387143974
ciao,0.754901961,0.019607843,0.755311647,0.021246588
cicero,0.871814928,0.536211699,0.870512023,0.534320662
cider,0.99589099,0.980392157,0.995599375,0.978753412
cigar,0.996078431,0.980392157,0.995750682,0.978753412
cigarette,0.886659333,0.551724138,0.882588488,0.547965315
cigarettes,0.789124556,0.381044487,0.790948414,0.387143974
cigars,0.996372055,0.980392157,0.996111476,0.978753412
cinch,0.996078431,0.980392157,0.995750682,0.978753412
cincinnati,0.963259024,0.828467153,0.963351535,0.819266942
cinder,0.995873879,0.980392157,0.995550459,0.978753412
cinderella,0.861151502,0.363636364,0.857415968,0.33999684
cinema,0.871814928,0.536211699,0.870512023,0.534320662
cinnamon,0.98867328,0.964497041,0.990938314,0.974376551
cipher,0.976534564,0.931034483,0.980464849,0.949435293
circle,0.840688895,0.536211699,0.840531429,0.534320662
circled,0.739723884,0.189189189,0.735451782,0.16984767
circles,0.80507991,0.5,0.803279919,0.497029331
circling,0.99754902,0.980392157,0.997344176,0.978753412
circuit,0.855769071,0.368,0.859735685,0.388917607
circuitous,0.893185927,0.348484848,0.889725452,0.342630098
circuitry,0.88887859,0.368,0.891671213,0.388917607
circuits,0.874988414,0.368,0.878130115,0.388917607
